Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-10;4.63;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-10;4.63;55050327884.55216;-1770.317239;2.011707;0.739095;1.070841;0.575972;2044.714639;0.0;29292836734.693874;0.0;13.105867;0.023675;295.09205099999997;-1636.360393;1418.140751
Tanker SuezMax FS;Electrical;-8;4.732889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-8;4.732889;58480324956.2495;-1880.6196329999998;2.137049;0.785145;1.1375620000000002;0.611859;2172.113793;0.0;31117972897.959183;0.0;13.922448999999999;0.02515;313.478225;-1738.3163949999998;1506.5002359999999
Tanker SuezMax FS;Electrical;-6;4.8357779999999995;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-6;4.8357779999999995;61910322027.94686;-1990.9220269999998;2.2623919999999997;0.8311959999999999;1.204282;0.647746;2299.512948;0.0;32943109061.224487;0.0;14.739030999999999;0.026625;331.864398;-1840.272398;1594.859721
Tanker SuezMax FS;Electrical;-4;4.938667;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-4;4.938667;65340319099.64423;-2101.224421;2.387734;0.8772459999999999;1.271003;0.683632;2426.912102;0.0;34768245224.4898;0.0;15.555612;0.0281;350.250571;-1942.2284;1683.2192059999998
Tanker SuezMax FS;Electrical;-2;5.041556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-2;5.041556;68770316171.34157;-2211.5268149999997;2.513077;0.9232969999999999;1.337723;0.7195189999999999;2554.311257;0.0;36593381387.755104;0.0;16.372194;0.029575;368.636745;-2044.1844019999999;1771.578691
Tanker SuezMax FS;Electrical;0;5.144444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;0;5.144444;72200313243.03893;-2321.829209;2.63842;0.969347;1.404444;0.755406;2681.710411;0.0;38418517551.02041;0.0;17.188776;0.03105;387.022918;-2146.140405;1859.938176
Tanker SuezMax FS;Electrical;2;5.247333;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;2;5.247333;77253692246.5143;-2484.336578;2.823085;1.037193;1.502742;0.8082779999999999;2869.40626;0.0;41107471673.469376;0.0;18.391837;0.033223;414.11107599999997;-2296.351122;1990.117286
Tanker SuezMax FS;Electrical;4;5.3502220000000005;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;4;5.3502220000000005;82307071249.98973;-2646.843947;3.007751;1.105038;1.601041;0.86115;3057.102109;0.0;43796425795.918365;0.0;19.594898;0.035397000000000005;441.199234;-2446.56184;2120.296397
Tanker SuezMax FS;Electrical;6;5.453111;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;6;5.453111;87360450253.46509;-2809.351317;3.192417;1.172884;1.699339;0.9140209999999999;3244.7979579999997;0.0;46485379918.36735;0.0;20.797959;0.03757;468.287392;-2596.7725570000002;2250.475507
Tanker SuezMax FS;Electrical;8;5.556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;8;5.556;92413829256.9405;-2971.858686;3.3770830000000003;1.2407299999999999;1.797638;0.966893;3432.493807;0.0;49174334040.816345;0.0;22.00102;0.039743;495.37555;-2746.983275;2380.654617
Tanker SuezMax FS;Electrical;10;5.658889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;10;5.658889;97467208260.41583;-3134.366056;3.561749;1.308575;1.895936;1.019765;3620.189656;0.0;51863288163.26529;0.0;23.204082;0.041916;522.463708;-2897.193992;2510.833727
Tanker SuezMax FS;Electrical;12;5.761778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
